px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.21441	-12.8562	-2.60709	0.916828	-0.883395	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.0559512
8.99698	-12.9396	-2.66212	0.687782	-1.17471	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	6.78401
8.88881	-13.0179	-2.66104	0.627177	-1.1763	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	0.0418289
8.7414	-13.0863	-2.67681	0.530068	-1.22542	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	0.262669
8.62053	-13.1473	-2.66491	0.463718	-1.22725	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0.077338
8.47255	-13.1912	-2.69772	0.360397	-1.29753	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	0.442353
8.34823	-13.2293	-2.69155	0.294806	-1.29948	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0.0341679
8.15987	-13.238	-2.75891	0.152067	-1.42041	8.22926	-13.1698	8.2	-13.15	-2.72741	0	1.33805
8.01451	-13.248	-2.7502	0.072371	-1.42384	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0.0604632
7.86614	-13.24	-2.73218	-0.00592682	-1.41874	7.82914	-13.0525	7.9	-13.15	-2.72986	0	0.395267
7.72272	-13.2278	-2.72372	-0.0854741	-1.42225	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.0349487
7.66339	-13.2713	-2.53447	-0.0434619	-1.22128	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	6.01747
7.52957	-13.264	-2.54231	-0.104321	-1.21901	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0.0418342
7.38377	-13.24	-2.53299	-0.166616	-1.20164	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.612462
7.23876	-13.2171	-2.54316	-0.230463	-1.19739	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.039506
7.08007	-13.1375	-2.63191	-0.345637	-1.28796	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	1.73115
6.94561	-13.097	-2.64613	-0.405148	-1.28066	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.0712119
